time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-9.35741722134e-09,5.2901496633e-07,10.0024792255,0.00045461406195,1.22975097039e-05,0.0,-9.26438256804e-07,4.34033230269e-05,0.0826377577716,0.0195470593065,0.000611792479668,0.0,431.41466045886756,431.4663001495983,430.445876752916,432.09651441100027
0.12000000000000001,-3.59361791693e-07,1.64242113179e-05,10.0096660405,0.00150722007468,6.28298342253,0.0,-3.6841781417e-06,0.000596032416115,0.156914727032,0.013200838484,-0.013621388108,0.0,429.33897086923537,428.12994935043963,428.88255891971374,428.3432484974307
0.18,7.83653663741e-06,9.34363514225e-05,10.0263700789,0.00228890939745,6.28246966782,0.0,0.00035693489526,0.00206787817327,0.399832487444,0.0126805397861,7.340090733e-06,0.0,479.40744376824625,480.44181273516557,480.41257452906893,480.37299674276017
0.23999999999999996,4.36926808187e-05,0.000266427640429,10.0527651564,0.00323025657737,6.2823031505,0.0,0.000845800947929,0.00378332505446,0.47997241194,0.0211133999043,-0.0090200428966,0.0,431.73269193881123,430.97052225103164,429.7628002773008,430.4767801620452
0.3,0.000116171125408,0.000572393673832,10.0867252258,0.00425455385041,6.28226790926,0.0,0.00159821969356,0.00654607752602,0.651946600715,0.00742773682583,0.0124408177971,0.0,458.6671735019314,460.36817484753357,459.8988705002409,458.8136889177389
0.36000000000000004,0.000232974889169,0.00108258164218,10.1352141343,0.00485642066751,6.28314187847,0.0,0.00218657006902,0.0105297518737,0.964139978436,0.0147866492073,0.0185097760647,0.0,500.41845291446396,500.85983844791843,499.48070787490695,500.0168913205362
0.4200000000000001,0.000360707942233,0.00181529561275,10.1955060832,0.00575165723601,0.00127491463361,0.0,0.00194991301697,0.0139821344459,1.04551987583,0.0151871817572,0.028126307741,0.0,432.39685554465757,433.2061647763306,430.9955109711317,431.02926086525434
0.48000000000000015,0.000437469301383,0.00280537205965,10.2659351095,0.00730443932113,0.00258788765521,0.0,0.000415830223261,0.0191802600868,1.30185687735,0.0414951484659,0.00490296100227,0.0,485.4325179790227,483.6868947170687,484.59893103156327,486.5722842944725
0.5400000000000001,0.000392718284676,0.00416127386365,10.3527909996,0.00937528856056,0.00254969419171,0.0,-0.00192757606331,0.0263186760155,1.59297796625,0.0144686474066,-0.0150263010817,0.0,496.09643867500426,494.6311120748546,496.5941925381017,494.60828237834926
0.6000000000000002,0.000231513980125,0.00592271051451,10.4498129657,0.0104287503024,0.00169233728236,0.0,-0.00336283026748,0.0324864071911,1.64101886216,0.0231127448761,-0.0128546010561,0.0,422.64110103510103,422.82831855235736,422.1847324437868,422.9297920306458
0.6600000000000003,-6.50236833513e-06,0.00811791729796,10.5536498917,0.0116152609304,0.00134370295032,0.0,-0.00451015319402,0.0408316706529,1.81994288856,0.0120876814736,0.00547739906113,0.0,463.5338993493195,464.9722530232596,463.9070280795678,463.0405348705257
0.7200000000000003,-0.000307786545859,0.0108241626632,10.6669814805,0.0126071765116,0.00174348009256,0.0,-0.00557161595367,0.049467462884,1.95754991223,0.0241978730644,0.00893453982737,0.0,451.1857606422799,451.4646635136401,451.9560066675434,452.93086163226474
0.7800000000000004,-0.000685282088556,0.0140916895237,10.7899312852,0.0149045932223,0.00268643062073,0.0,-0.00709844339009,0.059670480108,2.14044931408,0.0573251360998,0.026659806596,0.0,465.455242760917,466.8401927794927,464.75477892681346,467.34442919319196
0.8400000000000004,-0.00117841216332,0.018022596012,10.9232655921,0.0179658000808,0.00415052926791,0.0,-0.00950934731158,0.0717218448131,2.30370620081,0.0338058655998,0.0194530953496,0.0,461.61074495234845,461.04178267296635,461.38618915561796,459.5271463605601
0.9000000000000005,-0.00182315663672,0.022637543127,11.0607829227,0.0206400338116,0.00549698719349,0.0,-0.0120880838276,0.0823122733536,2.28024716695,0.0602620330958,0.0278311492821,0.0,401.38913871644377,402.1488131115068,399.59084043230195,401.996575694122
0.9600000000000005,-0.00269254374185,0.0281050990478,11.2047605016,0.0240481588842,0.00712141601714,0.0,-0.0170903683737,0.100360257446,2.51850041679,0.0487882109308,0.0255146450339,0.0,483.35889059002966,483.18439735195005,484.348733520938,483.48698190727475
1.0200000000000005,-0.00389364932842,0.0347091295857,11.3618965224,0.0269573883564,0.00887503581354,0.0,-0.0231360330315,0.120103654415,2.71890112079,0.0478783567263,0.0357735555552,0.0,472.7195818340924,473.5096228629228,474.1275554877855,474.0589315754679
1.0800000000000005,-0.00546639479859,0.042462368458,11.5272677556,0.0299208894145,0.011064797156,0.0,-0.0295001513823,0.13861915174,2.79328271954,0.0522575142843,0.0379028420396,0.0,435.4489580303689,435.6276789330597,436.1927474847163,436.5598642536509
1.1400000000000006,-0.00744219728732,0.0513258959167,11.6951197424,0.0329983844019,0.0132274182632,0.0,-0.0365562364741,0.157105618397,2.80174990637,0.049286913752,0.0320398192527,0.0,415.32388669856635,414.81001562069736,414.6047177812504,414.3455310861177
1.2000000000000006,-0.00991109696452,0.0614327399335,11.8658000397,0.0370689356213,0.0155966543097,0.0,-0.0459549600891,0.180146710826,2.88736259386,0.0906696562916,0.0512906582699,0.0,439.90561461705306,441.4975832707751,437.6283765860714,441.0625585995556
1.2600000000000007,-0.0129647883142,0.0729391147829,12.0397032939,0.0422553645638,0.0186618679148,0.0,-0.0561117900144,0.203878595808,2.90932970795,0.0762577838441,0.0506763691164,0.0,420.2752959948183,420.2238802076934,420.1534472802139,418.90865703866336
